code,name,pct_change,amount,turnover_rate,amplitude,high,low,open,close,prev_close,float_market_cap,total_market_cap,industry
600000,样本01,5.2,2000000000.0,14.0,7.0,10.7,10.0,10.13,10.574,10.0,3000000000.0,4000000000.0,电子
600001,样本02,5.9,2120000000.0,14.8,7.7,10.878,10.1,10.198,10.738,10.05,3110000000.0,4140000000.0,计算机
600002,样本03,6.6,2240000000.0,15.6,8.4,11.057,10.2,10.267,10.903,10.1,3220000000.0,4280000000.0,医药生物
600003,样本04,7.3,2360000000.0,16.4,7.0,11.021,10.3,10.335,10.891,10.15,3330000000.0,4420000000.0,机械设备
600004,样本05,5.2,2480000000.0,17.2,7.7,11.201,10.4,10.333,11.057,10.2,3440000000.0,4560000000.0,银行
600005,样本06,5.9,2600000000.0,18.0,8.4,11.382,10.5,10.401,11.012,10.25,3550000000.0,4700000000.0,有色金属
600006,样本07,6.6,2720000000.0,18.8,7.0,11.342,10.6,10.47,11.03,10.3,3660000000.0,4840000000.0,电子
600007,样本08,7.3,2840000000.0,19.6,7.7,11.524,10.7,10.539,11.178,10.35,3770000000.0,4980000000.0,计算机
600008,样本09,0.79,272000000.0,3.0,2.9,8.479,8.24,10.421,8.395,10.4,3880000000.0,5120000000.0,医药生物
600009,样本10,0.97,294000000.0,3.6,2.1,8.444,8.27,10.475,8.383,10.45,3990000000.0,5260000000.0,机械设备
600010,样本11,0.25,316000000.0,4.2,2.5,8.508,8.3,10.507,8.435,10.5,4100000000.0,5400000000.0,银行
600011,样本12,0.43,338000000.0,4.8,2.9,8.572,8.33,10.561,8.487,10.55,4210000000.0,5540000000.0,有色金属
600012,样本13,0.61,360000000.0,3.0,2.1,8.536,8.36,10.616,8.474,10.6,4320000000.0,5680000000.0,电子
600013,样本14,0.79,382000000.0,3.6,2.5,8.6,8.39,10.671,8.526,10.65,4430000000.0,5820000000.0,计算机
600014,样本15,0.97,250000000.0,4.2,2.9,8.664,8.42,10.726,8.579,10.7,4540000000.0,5960000000.0,医药生物
600015,样本16,0.25,272000000.0,4.8,2.1,8.627,8.45,10.757,8.565,10.75,4650000000.0,6100000000.0,机械设备
600016,样本17,0.43,294000000.0,3.0,2.5,8.692,8.48,10.812,8.618,10.8,4760000000.0,6240000000.0,银行
600017,样本18,0.61,316000000.0,3.6,2.9,8.757,8.51,10.867,8.67,10.85,4870000000.0,6380000000.0,有色金属
600018,样本19,0.79,338000000.0,4.2,2.1,8.719,8.54,10.922,8.657,10.9,4980000000.0,6520000000.0,电子
600019,样本20,0.97,360000000.0,4.8,2.5,8.784,8.57,10.977,8.709,10.95,5090000000.0,6660000000.0,计算机
600020,样本21,0.25,382000000.0,3.0,2.9,8.849,8.6,11.007,8.762,11.0,5200000000.0,6800000000.0,医药生物
600021,样本22,0.43,250000000.0,3.6,2.1,8.811,8.63,11.062,8.748,11.05,5310000000.0,6940000000.0,机械设备
600022,样本23,0.61,272000000.0,4.2,2.5,8.877,8.66,11.117,8.801,11.1,5420000000.0,7080000000.0,银行
600023,样本24,0.79,294000000.0,4.8,2.9,8.942,8.69,11.172,8.854,11.15,5530000000.0,7220000000.0,有色金属
600024,样本25,0.97,316000000.0,3.0,2.1,8.903,8.72,11.227,8.839,11.2,5640000000.0,7360000000.0,电子
600025,样本26,-1.23,155000000.0,2.2,2.75,7.706,7.5,11.215,7.587,11.25,5750000000.0,7500000000.0,计算机
600026,样本27,-1.45,170000000.0,2.7,3.1,7.753,7.52,11.259,7.618,11.3,5860000000.0,7640000000.0,医药生物
600027,样本28,-1.67,185000000.0,3.2,3.45,7.8,7.54,11.303,7.649,11.35,5970000000.0,7780000000.0,机械设备
600028,样本29,-0.35,200000000.0,3.7,2.4,7.741,7.56,11.39,7.636,11.4,6080000000.0,7920000000.0,银行
600029,样本30,-0.57,215000000.0,4.2,2.75,7.788,7.58,11.434,7.668,11.45,6190000000.0,8060000000.0,有色金属
000001,样本31,-0.79,140000000.0,2.2,3.1,7.836,7.6,11.477,7.699,11.5,6300000000.0,8200000000.0,电子
000002,样本32,-1.01,155000000.0,2.7,3.45,7.883,7.62,11.521,7.73,11.55,6410000000.0,8340000000.0,计算机
000003,样本33,-1.23,170000000.0,3.2,2.4,7.823,7.64,11.564,7.717,11.6,6520000000.0,8480000000.0,医药生物
000004,样本34,-1.45,185000000.0,3.7,2.75,7.871,7.66,11.608,7.748,11.65,6630000000.0,8620000000.0,机械设备
000005,样本35,-1.67,200000000.0,4.2,3.1,7.918,7.68,11.651,7.78,11.7,6740000000.0,8760000000.0,银行
000006,样本36,-0.35,215000000.0,2.2,3.45,7.966,7.7,11.74,7.812,11.75,6850000000.0,8900000000.0,有色金属
000007,样本37,-0.57,140000000.0,2.7,2.4,7.905,7.72,11.783,7.798,11.8,6960000000.0,9040000000.0,电子
000008,样本38,-0.79,155000000.0,3.2,2.75,7.953,7.74,11.827,7.829,11.85,7070000000.0,9180000000.0,计算机
000009,样本39,-1.01,170000000.0,3.7,3.1,8.001,7.76,11.87,7.861,11.9,7180000000.0,9320000000.0,医药生物
000010,样本40,-1.23,185000000.0,4.2,3.45,8.048,7.78,11.913,7.893,11.95,7290000000.0,9460000000.0,机械设备
000011,样本41,-1.45,200000000.0,2.2,2.4,7.987,7.8,11.957,7.879,12.0,7400000000.0,9600000000.0,银行
000012,样本42,-1.67,215000000.0,2.7,2.75,8.035,7.82,12.0,7.91,12.05,7510000000.0,9740000000.0,有色金属
000013,样本43,-0.35,140000000.0,3.2,3.1,8.083,7.84,12.089,7.942,12.1,7620000000.0,9880000000.0,电子
000014,样本44,-0.57,155000000.0,3.7,3.45,8.131,7.86,12.133,7.974,12.15,7730000000.0,10020000000.0,计算机
000015,样本45,-0.79,170000000.0,4.2,2.4,8.069,7.88,12.176,7.959,12.2,7840000000.0,10160000000.0,医药生物
000016,样本46,-1.01,185000000.0,2.2,2.75,8.117,7.9,12.219,7.991,12.25,7950000000.0,10300000000.0,机械设备
000017,样本47,-1.23,200000000.0,2.7,3.1,8.166,7.92,12.262,8.023,12.3,8060000000.0,10440000000.0,银行
000018,样本48,-1.45,215000000.0,3.2,3.45,8.214,7.94,12.305,8.055,12.35,8170000000.0,10580000000.0,有色金属
000019,样本49,-1.67,140000000.0,3.7,2.4,8.151,7.96,12.348,8.04,12.4,8280000000.0,10720000000.0,电子
000020,样本50,-0.35,155000000.0,4.2,2.75,8.199,7.98,12.439,8.072,12.45,8390000000.0,10860000000.0,计算机
000021,样本51,-0.57,170000000.0,2.2,3.1,8.248,8.0,12.482,8.104,12.5,8500000000.0,11000000000.0,医药生物
000022,样本52,-0.79,185000000.0,2.7,3.45,8.297,8.02,12.525,8.136,12.55,8610000000.0,11140000000.0,机械设备
000023,样本53,-1.01,200000000.0,3.2,2.4,8.233,8.04,12.568,8.121,12.6,8720000000.0,11280000000.0,银行
000024,样本54,-1.23,215000000.0,3.7,2.75,8.282,8.06,12.611,8.153,12.65,8830000000.0,11420000000.0,有色金属
000025,样本55,-1.45,140000000.0,4.2,3.1,8.33,8.08,12.654,8.185,12.7,8940000000.0,11560000000.0,电子
000026,样本56,-1.67,155000000.0,2.2,3.45,8.379,8.1,12.697,8.217,12.75,9050000000.0,11700000000.0,计算机
000027,样本57,-0.35,170000000.0,2.7,2.4,8.315,8.12,12.789,8.202,12.8,9160000000.0,11840000000.0,医药生物
000028,样本58,-0.57,185000000.0,3.2,2.75,8.364,8.14,12.832,8.234,12.85,9270000000.0,11980000000.0,机械设备
000029,样本59,-0.79,200000000.0,3.7,3.1,8.413,8.16,12.875,8.266,12.9,9380000000.0,12120000000.0,银行
000030,样本60,-1.01,215000000.0,4.2,3.45,8.462,8.18,12.917,8.299,12.95,9490000000.0,12260000000.0,有色金属
